File ./HW1_1.pcap
Timestamp           :   source -> destination
1730785927.623394   :   146.190.62.39                          -> 11.23.93.9
1730785927.623395   :   146.190.62.39                          -> 11.23.93.9
1730785927.623396   :   146.190.62.39                          -> 11.23.93.9
1730785927.623397   :   146.190.62.39                          -> 11.23.93.9
1730785927.623472   :   11.23.93.9                             -> 146.190.62.39
1730785927.624284   :   11.23.93.9                             -> 146.190.62.39
1730785927.62732    :   11.23.93.9                             -> 146.190.62.39
1730785927.627392   :   11.23.93.9                             -> 146.190.62.39
1730785927.634309   :   11.23.93.9                             -> 146.190.62.39
1730785927.634414   :   11.23.93.9                             -> 162.159.61.4
1730785927.634428   :   11.23.93.9                             -> 162.159.61.4
1730785927.634472   :   11.23.93.9                             -> 162.159.61.4
1730785927.634481   :   11.23.93.9                             -> 162.159.61.4
1730785927.634513   :   11.23.93.9                             -> 162.159.61.4
1730785927.634519   :   11.23.93.9                             -> 162.159.61.4
1730785927.634554   :   11.23.93.9                             -> 162.159.61.4
1730785927.634561   :   11.23.93.9                             -> 162.159.61.4
1730785927.635977   :   146.190.62.39                          -> 11.23.93.9
1730785927.636075   :   11.23.93.9                             -> 146.190.62.39
1730785927.644406   :   146.190.62.39                          -> 11.23.93.9
1730785927.644408   :   146.190.62.39                          -> 11.23.93.9
1730785927.644409   :   162.159.61.4                           -> 11.23.93.9
1730785927.64441    :   162.159.61.4                           -> 11.23.93.9
1730785927.644594   :   11.23.93.9                             -> 146.190.62.39
1730785927.649305   :   162.159.61.4                           -> 11.23.93.9
1730785927.649307   :   162.159.61.4                           -> 11.23.93.9
1730785927.649307   :   162.159.61.4                           -> 11.23.93.9
1730785927.649308   :   162.159.61.4                           -> 11.23.93.9
1730785927.649309   :   162.159.61.4                           -> 11.23.93.9
1730785927.64931    :   162.159.61.4                           -> 11.23.93.9
1730785927.649311   :   162.159.61.4                           -> 11.23.93.9
1730785927.649311   :   162.159.61.4                           -> 11.23.93.9
1730785927.64943    :   11.23.93.9                             -> 162.159.61.4
1730785927.650295   :   11.23.93.9                             -> 104.17.24.14
1730785927.650352   :   11.23.93.9                             -> 104.17.24.14
1730785927.650396   :   11.23.93.9                             -> 104.17.24.14
1730785927.659283   :   104.17.24.14                           -> 11.23.93.9
